Question,Rafi's Qs,,,ChatGPT improvement (dumped all Qs at one time),,,,,,,,,,,,
12,"Please concisely list, in bullet format, all medical conditions, diagnoses, and health issues mentioned in the document, regardless of whether they have associated ICD-10 codes. Begin the bullet list with the header ""Diagnoses."" Include any conditions related to substance abuse, mental health, physical ailments, and any other health-related issues noted, even if they are not formally diagnosed. When applicable, list the ICD-10. If the ICD-10 is not supplied, look up and associate the ICD-10 code at the most appropriate level that can be derived from the description. However, still include the item even if an ICD-10 cannot be associated with the diagnoses. Also, include the PDF page number(s) indicating the source, for example ""Page 1"" or ""Pages 1,2,3."" Omit any summary statements before or after the response or bullet list. If no medical conditions, diagnoses, or health issues are mentioned in the document, respond concisely ""Diagnoses: NA.""",,,"12. List all medical conditions and diagnoses with ICD-10 codes if provided. Respond in bullet format. If none, 'Diagnoses: NA'. Page reference if available.",,,,,,,,,,,,
13,"Summarize the patients past medical history (pmhx). Begin the bullet list with the header ""PMHx"". Respond concisely, in bullet format list. Calculate the elapsed time since each historical event or diagnosis in weeks or years, and list them in parentheses, sorted from the oldest to the most recent. Also, include the PDF page number(s) indicating the source, for example ""Page 1"" or ""Pages 1,2,3"". Omit any summaries before or after the response or bullet list.",,,"13. Summarize patient's past medical history (pmhx) in chronological order, referencing weeks or years ago. Respond in bullet format. Page reference if available.",,,,,,,,,,,,
14,"List, concisely, in bullet format, any expected medical equipment that might be needed given the diagnoses and medical history related to Mobility Aids (for example wheelchair, rolling walker, transfer bench, gait belt, or crutches). Also, include the PDF page number(s) indicating the source, for example ""Page 1"" or ""Pages 1,2,3"". Only list the equipment without any summary or explanatory statements before or after the response or bullet list. If no mobility aids are expected to be needed, respond concisely ""Mobility Aids: NA"". ",,,"14. List required mobility aids. Respond in bullet format. If none, 'Mobility Aids: NA'. Page reference if available.",,,,,,,,,,,,
15,"List, concisely, in bullet format, any expected medical equipment that might be needed by this patient given their diagnoses and medical history related to Patient Monitoring and Safety Equipment (for example vital signs or respiratory monitors, electrocardiogram (ECG) machines, etc.).  Also, include the PDF page number(s) indicating the source, for example ""Page 1"" or ""Pages 1,2,3"". Omit any summary statements before or after the response or bullet list. If no patient monitoring or safety equipment is expected to be needed, respond concisely ""Patient Monitoring & Safety Equipment: NA"".",,,"15. Identify necessary patient monitoring and safety equipment. Respond in bullet format. If none, 'Patient Monitoring & Safety Equipment: NA'. Page reference if available.",,,,,,,,,,,,
16a,"List, concisely, in bullet format, any expected medical equipment that might be needed by this patient given their diagnoses and medical history related to Bariatric Bed Equipment. Also, include the PDF page number(s) indicating the source, for example ""Page 1"" or ""Pages 1,2,3"". Omit any summary statements before or after the response or bullet list. If no bariatric bed equipment is expected to be needed, respond concisely ""Bed Equipment: NA"".",,,,,,,,,,,,,,,
16b,"List, concisely, in bullet format, any expected medical equipment that might be needed by this patient given their diagnoses and medical history related to Enclosed Bed Equipment. Also, include the PDF page number(s) indicating the source, for example ""Page 1"" or ""Pages 1,2,3"". Omit any summary statements before or after the response or bullet list. If no enclosed bed equipment is expected to be needed, respond concisely ""Bed Equipment: NA"".",,,,,,,,,,,,,,,
16c,"List, concisely, in bullet format, any expected medical equipment that might be needed by this patient given their diagnoses and medical history related to Psychiatric Bed Equipment. Also, include the PDF page number(s) indicating the source, for example ""Page 1"" or ""Pages 1,2,3"". Omit any summary statements before or after the response or bullet list. If no psychiatric bed equipment is expected to be needed, respond concisely ""Bed Equipment: NA"".
",,,,,,,,,,,,,,,
16d,"List, concisely, in bullet format, any expected medical equipment that might be needed by this patient given their diagnoses and medical history related to Alternating or Redistributing Pressure Bed Equipment. Also, include the PDF page number(s) indicating the source, for example ""Page 1"" or ""Pages 1,2,3"". Omit any summary statements before or after the response or bullet list. If no alternating or redistributing pressure bed equipment is expected to be needed, respond concisely ""Bed Equipment: NA"".",,,,,,,,,,,,,,,
16e,"List, concisely, in bullet format, any expected medical equipment that might be needed by this patient given their diagnoses and medical history related to Air-Fluidized Bed Equipment. Also, include the PDF page number(s) indicating the source, for example ""Page 1"" or ""Pages 1,2,3"". Omit any summary statements before or after the response or bullet list. If no air-fluidized bed equipment is expected to be needed, respond concisely ""Bed Equipment: NA"".",,,,,,,,,,,,,,,
16f,"List, concisely, in bullet format, any expected medical equipment that might be needed by this patient given their diagnoses and medical history related to Geriatric Bed Equipment. Also, include the PDF page number(s) indicating the source, for example ""Page 1"" or ""Pages 1,2,3"". Omit any summary statements before or after the response or bullet list. If no geriatric bed equipment is expected to be needed, respond concisely ""Bed Equipment: NA"".",,,,,,,,,,,,,,,
16g,"List, concisely, in bullet format, any expected medical equipment that might be needed by this patient given their diagnoses and medical history related to Other Specialty Bed Equipment. Also, include the PDF page number(s) indicating the source, for example ""Page 1"" or ""Pages 1,2,3"". Omit any summary statements before or after the response or bullet list. If no other specialty bed equipment is expected to be needed, respond concisely ""Bed Equipment: NA"".",,,,,,,,,,,,,,,
17a,"List, concisely, in bullet format, any expected medical equipment that might be needed by this patient given their diagnoses and medical history related to Oxygen. Also, , include the PDF page number(s) indicating the source, for example ""Page 1"" or ""Pages 1,2,3"". Omit any summary statements before or after the response or bullet list. If no Oxygen is expected to be needed, respond concisely ""Specialized Medical Equipment: NA"".",,,,,,,,,,,,,,,
17b,"List, concisely, in bullet format, any expected medical equipment that might be needed by this patient given their diagnoses and medical history related to Suction Machine. Also, , include the PDF page number(s) indicating the source, for example ""Page 1"" or ""Pages 1,2,3"". Omit any summary statements before or after the response or bullet list. If no Suction Machine is expected to be needed, respond concisely ""Specialized Medical Equipment: NA"".",,,,,,,,,,,,,,,
17c,"List, concisely, in bullet format, any expected medical equipment that might be needed by this patient given their diagnoses and medical history related to Nebulizer. Also, , include the PDF page number(s) indicating the source, for example ""Page 1"" or ""Pages 1,2,3"". Omit any summary statements before or after the response or bullet list. If no Nebulizer is expected to be needed, respond concisely ""Specialized Medical Equipment: NA"".",,,,,,,,,,,,,,,
17d,"List, concisely, in bullet format, any expected medical equipment that might be needed by this patient given their diagnoses and medical history related to Glucose Monitoring. Also, , include the PDF page number(s) indicating the source, for example ""Page 1"" or ""Pages 1,2,3"". Omit any summary statements before or after the response or bullet list. If no Glucose Monitoring is expected to be needed, respond concisely ""Specialized Medical Equipment: NA"".",,,,,,,,,,,,,,,
17e,"List, concisely, in bullet format, any expected medical equipment that might be needed by this patient given their diagnoses and medical history related to Ventilator. Also, , include the PDF page number(s) indicating the source, for example ""Page 1"" or ""Pages 1,2,3"". Omit any summary statements before or after the response or bullet list. If no Ventilator is expected to be needed, respond concisely ""Specialized Medical Equipment: NA"".",,,,,,,,,,,,,,,
17f,"List, concisely, in bullet format, any expected medical equipment that might be needed by this patient given their diagnoses and medical history related to CPAP or BiPAP Machine. Also, , include the PDF page number(s) indicating the source, for example ""Page 1"" or ""Pages 1,2,3"". Omit any summary statements before or after the response or bullet list. If no CPAP or BiPAP Machine is expected to be needed, respond concisely ""Specialized Medical Equipment: NA"".",,,,,,,,,,,,,,,
17g,"List, concisely, in bullet format, any expected medical equipment that might be needed by this patient given their diagnoses and medical history related to Tracheostomy equipment. Also, , include the PDF page number(s) indicating the source, for example ""Page 1"" or ""Pages 1,2,3"". Omit any summary statements before or after the response or bullet list. If no Tracheostomy equipment is expected to be needed, respond concisely ""Specialized Medical Equipment: NA"".",,,,,,,,,,,,,,,
17h,"List, concisely, in bullet format, any expected medical equipment that might be needed by this patient given their diagnoses and medical history related to Feeding Pump. Also, , include the PDF page number(s) indicating the source, for example ""Page 1"" or ""Pages 1,2,3"". Omit any summary statements before or after the response or bullet list. If no Feeding Pump is expected to be needed, respond concisely ""Specialized Medical Equipment: NA"".",,,,,,,,,,,,,,,
17i,"List, concisely, in bullet format, any expected medical equipment that might be needed by this patient given their diagnoses and medical history related to IV or Infusion Pumps. Also, , include the PDF page number(s) indicating the source, for example ""Page 1"" or ""Pages 1,2,3"". Omit any summary statements before or after the response or bullet list. If no IV or Infusion Pumps are expected to be needed, respond concisely ""Specialized Medical Equipment: NA"".",,,,,,,,,,,,,,,
17j,"List, concisely, in bullet format, any expected medical equipment that might be needed by this patient given their diagnoses and medical history related to Specialized wound care equipment. Also, , include the PDF page number(s) indicating the source, for example ""Page 1"" or ""Pages 1,2,3"". Omit any summary statements before or after the response or bullet list. If no Specialized wound care equipment is expected to be needed, respond concisely ""Specialized Medical Equipment: NA"".",,,,,,,,,,,,,,,
18,"List, concisely, in bullet format, any assistance expected to be needed by the patient. For example, ""No assistance needed"" if the patient is independent; ""Minimal Assistance"" if the patient is not as independent; ""2, 3 or 4 Person Assistance"" depending if the patient needs, 2, 3, or 4 aids based on the size and needs of the patient.  In addition, indicate and respond if the patient needs ""One-on-one (1:1) Feeding Assistance"". Also, include the PDF page number(s) indicating the source, for example ""Page 1"" or ""Pages 1,2,3"". Omit any summary statements before or after the response. If no assistance is expected to be needed, respond concisely ""Assistance: NA"".",,,"18. Enumerate assistance level needed by the patient. Respond in bullet format. If none, 'Assistance: NA'. Page reference if available.",,,,,,,,,,,,
19,"If the patient currently has an intravenous (IV) line or is expected to need one soon, respond concisely ""IV needed or expected"".  If not needed or expected, respond concisely ""IV: NA"". Also, include the PDF page number(s) indicating the source, for example ""Page 1"" or ""Pages 1,2,3"". Omit any summary statements before or after the response.",,,19. Confirm current or future need for IV. Respond 'IV needed or expected' or 'IV: NA'. Page reference if available.,,,,,,,,,,,,
20,"Does the patient have any pressure ulcers (bedsores or pressure sores) in Stage 1-4 or Unstageable? Stage 1 is the earliest stage with skin intact but may show signs of redness, does not blanch (turn white) when pressed, and may be painful, firm, soft, warmer, or cooler compared to adjacent tissue. Stage 2 is partial-thickness loss of skin, may appear as a blister, shallow open ulcer, or abrasion but no slough (dead tissue). Stage 3 is full-thickness loss of skin, ulcer appears as a deep wound, fat may be visible, but bone, tendon, or muscle are not exposed, and if slough, does not obscure depth of tissue loss. Stage 4 is full-thickness tissue loss with exposed bone, tendon, or muscle, may have slough or eschar (black, brown, or tan dead tissue, ulcers are often very deep, may have osteomyelitis (bone infection) or osteitis (bone inflammation). Unstageable is full-thickness skin and tissue loss, but damage extent cannot be determined because it is obscured by slough or eschar. If yes, respond concisely with the stage, for example: ""Pressure ulcer: Stage 2."" Also, include the PDF page number(s) indicating the source, for example ""Page 1"" or ""Pages 1,2,3."" Omit any summary statements before or after the response. If no pressure ulcers, respond concisely ""Pressure ulcers: NA."" ",,,"20. Inquire about presence and stage of pressure ulcers. Respond with stage. If none, 'Pressure ulcers: NA'. Page reference if available.",,,,,,,,,,,,
21,"Does the patient have any complex wounds? If yes, respond concisely ""Complex wound:"" followed by the type(s) of wound(s). Also, include the PDF page number(s) indicating the source, for example ""Page 1"" or ""Pages 1,2,3."" Omit any summary statements before or after the response. If not, respond concisely ""Complex wounds: No.""",,,21. Check for complex wounds or specialized wound equipment. Respond 'Complex wound: [Type/Equipment]' or 'Complex wounds: NA'. Page reference if available.,,,,,,,,,,,,
22,"Does the patient need a wound vacuum. If yes, respond concisely ""Wound Vac: Yes"". Also, include the PDF page number(s) indicating the source, for example ""Page 1"" or ""Pages 1,2,3"". Omit any summary statements before or after the response.  If not, respond concisely ""Wound Vac: No""",,,,,,,,,,,,,,,
23,"Does the patient need any specialty wound equipment, besides a would vacuum (vac). If yes, then response ""Specialty Wound Equipment:"" followed by the type(s) of equipment needed.  Also, include the PDF page number(s) indicating the source, for example ""Page 1"" or ""Pages 1,2,3"". Omit any summary statements before or after the response or bullet list. If not, respond concisely ""Specialty Wound Equipment: No"".",,,,,,,,,,,,,,,
24,"Does the patient currently smoke or were they a previous smoker? If so, how many packs per day do they smoke? Return your answer in a concise format, for example ""Smoking: No"", or ""Smoking: Yes, 1 pack per day"". Also, include the PDF page number(s) indicating the source, for example ""Page 1"" or ""Pages 1,2,3"". Omit any summary statements before or after the response or bullet list.",,,"22. Confirm smoking status and quantity if applicable. Respond 'No' or 'Yes, [packs per day]'. Page reference if available.",,,,,,,,,,,,
25,"Are there indications that the patient is currently engaging in drug abuse or has a history of substance abuse, separate from and excluding alcohol or ETOH abuse?  If yes, specify which substances and frequencies. Respond as concisely as possible, for example ""Drug Abuse: No"", or respond ""Drug Abuse: Yes"" with a bullet list below, for example, ""• Opiates (Heroin/Oxy): Injected, $20 daily usage, started at age 18, last used recently, (Page 1); • Cocaine/Crack: Snorted/Inhaled, $40 daily usage, started in the patient's 20s, last used recently, (Page 3 ); etc."". Also, include the PDF page number(s) indicating the source of the answer. Omit any summaries before or after the response or bullet list.",,,"23. Identify drug abuse history, excluding ETOH. Respond in bullet format specifying substances and frequencies. If none, 'NA'. Page reference if available.",,,,,,,,,,,,
26,"Are there indications that the patient is currently engaging in or has a history of alcohol or ETOH abuse, separate from and excluding drug abuse?  If yes, specify which substances and frequencies. Respond as concisely as possible, for example """"ETOH Abuse: No"", or respond ""ETOH Abuse: Yes"" with a bullet list, for example, ""• Beer, 5 days per week, 2 drinks per day, started at age 18, last used recently, (Page 1); • Liquor, 7 days per week, 3 drinks per day, started in the patient's 20s, last used recently, (Page 3 ); etc."". Also, include the PDF page number(s) indicating the source of the answer. Omit any summaries before or after the response or bullet list. If there is no indication of alcohol or ETOH abuse, return ""NA"".",,,"24. Check for current or past ETOH abuse, excluding drugs. Respond in bullet format. If none, 'NA'. Page reference if available.",,,,,,,,,,,,
27,"Based on the patient's specific conditions, diagnoses, or physician recommendations, what are the prescribed or recommended types and frequencies of therapy sessions? If therapy is expected, respond concisely, in bullet format, which kinds of therapies, how often per week, and how many minutes per session.  Examples of therapies include physical therapy (PT), occupational therapy (OT), speech therapy, etc. Also, include the PDF page number(s) indicating the source, for example ""Page 1"" or ""Pages 1,2,3"". Omit any summaries before or after the response or bullet list.  If therapy is not expected, respond ""Therapy: NA"". ",,,"25. List therapy types, frequencies, and durations. Respond in bullet format. If none, 'Therapy: NA'. Page reference if available.",,,,,,,,,,,,
28,"Are there any significant concerns or notes regarding admitting this patient to a nursing home, such as being a potential threat or risk to themselves, other patients, the staff or the facilities?  Examples include prior history or harm to others or self, suicidal indications, prior history of damaging a building or facility, sex offender, victim of repeated violent abuse, etc.  Is anything noted in the notes as a 'concern'?  If yes, respond concisely, in bullet list format, as ""Concerns"" followed by the list. Also, include the PDF page number(s) indicating the source, for example ""Page 1"" or ""Pages 1,2,3"". Omit any summary statements before or after the response or bullet list.  If not, respond concisely ""Concerns: NA"".",,,"26. Identify any significant concerns for nursing home admission. Respond in bullet format as 'Concerns' followed by the list. If none, 'Concerns: NA'. Page reference if available.",,,,,,,,,,,,
29,"Does the patient currently have Tuberculosis (TB), or are they taking any prescription drugs that indicate they have Tuberculosis? If yes, respond with ""Tuberculosis: Yes,"" and include the PDF page number(s) indicating the source (e.g., ""Page 1"" or ""Pages 1,2,3""). Omit any summary statements before or after the response. If there is no indication of Tuberculosis, respond concisely with ""Tuberculosis: No."" ",,,27. Check for TB (Tuberculosis) from prescription drugs. Respond 'Tuberculosis: Yes/No'. Page reference if available.,,,,,,,,,,,,
30,"Does the patient have or are they taking any prescription drugs that indicate they have Vancomycin-resistant Enterococci (VRE)? If yes, respond with ""VRE: Yes"" and include the PDF page number(s) indicating the source (e.g., ""Page 1"" or ""Pages 1,2,3""). Omit any summary statements before or after the response. If not, respond concisely with ""VRE: No.""",,,28. Confirm presence of VRE (Vancomycin-resistant Enterococci) from medications. Respond 'VRE: Yes/No'. Page reference if available.,,,,,,,,,,,,
31,"Does the patient have or are they taking any prescription drugs that indicate they have Human immunodeficiency virus (HIV). If yes, respond ""HIV: Yes"".  Also, include the PDF page number(s) indicating the source, for example ""Page 1"" or ""Pages 1,2,3"". Omit any summary statements before or after the response. If not, respond concisely ""HIV: No"".",,,29. Verify HIV (Human immunodeficiency virus) status from prescriptions. Respond 'HIV: Yes/No'. Page reference if available.,,,,,,,,,,,,
32,"Does the patient have or are they taking any prescription drugs that indicate they have Extended spectrum B-lactamases (ESBL). If yes, respond ""ESBL: Yes"".  Also, include the PDF page number(s) indicating the source, for example ""Page 1"" or ""Pages 1,2,3"". Omit any summary statements before or after the response. If not, respond concisely ""ESBL: No"".",,,30. Assess for ESBL (Extended spectrum B-lactamases) from prescription drugs. Respond 'ESBL: Yes/No'. Page reference if available.,,,,,,,,,,,,
33,"Does the patient have or are they taking any prescription drugs that indicate they have acquired immunodeficiency syndrome (AIDS). If yes, respond ""AIDS: Yes"".Also, include the PDF page number(s) indicating the source, for example ""Page 1"" or ""Pages 1,2,3"". Omit any summary statements before or after the response.  If not, respond concisely ""AIDS: No"". ",,,31. Check for AIDS (Acquired immunodeficiency syndrome) indication from medications. Respond 'AIDS: Yes/No'. Page reference if available.,,,,,,,,,,,,
34,"Does the patient need an Electrocardiogram (ECG or EKG)? If yes, respond ""ECG: Yes"".  Also, include the PDF page number(s) indicating the source, for example ""Page 1"" or ""Pages 1,2,3"". Omit any summary statements before or after the response. If not, respond concisely ""ECG: No"".",,,32. Inquire about the need for an ECG (Electrocardiogram). Respond 'ECG: Yes/No'. Page reference if available.,,,,,,,,,,,,
35,"Does the patient need an Prothrombin Time (PT or PT/INR) test? If yes, respond ""PT/INR: Yes"". Also, include the PDF page number(s) indicating the source, for example ""Page 1"" or ""Pages 1,2,3"". Omit any summary statements before or after the response.  If not, respond concisely ""PT/INR: No"".",,,33. Confirm necessity of PT/INR (Prothrombin Time/International Normalized Ratio) test. Respond 'PT/INR: Yes/No'. Page reference if available.,,,,,,,,,,,,
36,"Does the patient need an Cardiac Event Monitor (eCardio or eTrigger)? If yes, respond ""eCardio: Yes"".Also, include the PDF page number(s) indicating the source, for example ""Page 1"" or ""Pages 1,2,3"". Omit any summary statements before or after the response.  If not, respond concisely ""eCardio: No"". ",,,34. Determine if a Cardiac Event Monitor (eCardio or eTrigger) is required. Respond 'eCardio: Yes/No'. Page reference if available.,,,,,,,,,,,,
37,"Does the patient need a Bladder scan to assess postvoid residual (PVR) volume (Radionuclide Cystogram)? If yes, respond ""Bladder scan: Yes"".  Also, include the PDF page number(s) indicating the source, for example ""Page 1"" or ""Pages 1,2,3"". Omit any summary statements before or after the response. If not, respond concisely ""Bladder scan: No"".",,,35. Check for Bladder scan need for PVR (postvoid residual) volume. Respond 'Bladder scan: Yes/No'. Page reference if available.,,,,,,,,,,,,
38,"Does the patient have or need a central venous catheter (central line)? If yes, respond ""Central line: Yes"". Also, include the PDF page number(s) indicating the source, for example ""Page 1"" or ""Pages 1,2,3"". Omit any summary statements before or after the response. If not, respond concisely ""Central line: No"". ",,,36. Confirm if a central venous catheter (central line) is present or needed. Respond 'Central line: Yes/No'. Page reference if available.,,,,,,,,,,,,
39,"Does the patient have or need a midline catheter? If yes, respond ""Midline catheter: Yes"". Also, include the PDF page number(s) indicating the source, for example ""Page 1"" or ""Pages 1,2,3"". Omit any summary statements before or after the response.  If not, respond concisely ""Midline catheter: No"".",,,37. Verify necessity of a midline catheter. Respond 'Midline catheter: Yes/No'. Page reference if available.,,,,,,,,,,,,
40,"Does the patient have or need Implantable Ports? If yes, respond ""Implantable ports: Yes"". Also, include the PDF page number(s) indicating the source, for example ""Page 1"" or ""Pages 1,2,3"". Omit any summary statements before or after the response.  If not, respond concisely ""Implantable ports: No"". ",,,38. Inquire about the need for Implantable Ports. Respond 'Implantable ports: Yes/No'. Page reference if available.,,,,,,,,,,,,
41,"Does the patient have or need a Jackson-Pratt (JP) or Penrose Drain? If yes, respond ""JP/Penrose drain: Yes"".  Also, include the PDF page number(s) indicating the source, for example ""Page 1"" or ""Pages 1,2,3"". Omit any summary statements before or after the response.  If not, respond concisely ""JP/Penrose drain: No"".",,,39. Check for requirement of a Jackson-Pratt (JP) Drain. Respond 'Jackson-Pratt (JP) drain: Yes/No'. Page reference if available.,,,,,,,,,,,,
42,"Does the patient have a Nephrostomy or Urostomy? If yes, respond ""Nephrostomy: Yes"".  Also, include the PDF page number(s) indicating the source, for example ""Page 1"" or ""Pages 1,2,3"". Omit any summary statements before or after the response. If not, respond concisely ""Nephrostomy: No"".",,,41. Assess for Nephrostomy or Urostomy. Respond 'Nephrostomy: Yes/No'. Page reference if available.,,,,,,,,,,,,
43,"Does the patient have a Colostomy? If yes, respond ""Colostomy: Yes"". Also, include the PDF page number(s) indicating the source, for example ""Page 1"" or ""Pages 1,2,3"". Omit any summary statements before or after the response. If not, respond concisely ""Colostomy: No"". ",,,42. Inquire about the presence of a Colostomy. Respond 'Colostomy: Yes/No'. Page reference if available.,,,,,,,,,,,,
44,"Does the patient have or need a Suprapubic Catheter? If yes, respond ""Suprapubic Catheter: Yes"".  Also, include the PDF page number(s) indicating the source, for example ""Page 1"" or ""Pages 1,2,3"". Omit any summary statements before or after the response.  If not, respond concisely ""Suprapubic Catheter: No"".",,,43. Verify if a Suprapubic Catheter is present or needed. Respond 'Suprapubic Catheter: Yes/No'. Page reference if available.,,,,,,,,,,,,
45,"Does the patient have or need a Dialysis Shunt? If yes, respond ""Dialysis Shunt: Yes"". Also, include the PDF page number(s) indicating the source, for example ""Page 1"" or ""Pages 1,2,3"". Omit any summary statements before or after the response.  If not, respond concisely ""Dialysis Shunt: No"". ",,,44. Check for the presence or need of a Dialysis Shunt. Respond 'Dialysis Shunt: Yes/No'. Page reference if available.,,,,,,,,,,,,
