Question,Keywords,Page Numbers
"Summarize the patients past medical history (pmhx). Begin the bullet list with the header ""PMHx"".Respond concisely, in bullet format list. Calculate the elapsed time since each historical event or diagnosis in weeks or years, and list them in parentheses, sorted from the oldest to the most recent. Include the PDF page number(s) indicating the source, for example ""Page 1"" or ""Pages 1,2,3"". Omit any summaries before or after the response or bullet list.","list, bullet, pmhx, summarize, patients, past, medical, history, begin, header","22, 5, 13, 1, 24, 16, 27, 23, 15, 11, 17, 8, 18, 19, 12, 9, 26, 10, 7"
"List, concisely, in bullet format, any expected medical equipment that might be needed given the diagnoses and medical history related to Mobility Aids (for example wheelchair, rolling walker, transfer bench, gait belt, or crutches). If no mobility aids are expected to be needed, respond concisely ""Mobility Aids: NA"". Include the PDF page number(s) indicating the source, for example ""Page 1"" or ""Pages 1,2,3"". Only list the equipment without any summary or explanatory statements before or after the response or bullet list.","list, mobility, aids, concisely, bullet, expected, medical, equipment, needed, example","11, 17, 19, 8, 9, 26, 13, 1, 10, 16, 7, 5, 12, 27, 15"
"List, concisely, in bullet format, any expected medical equipment that might be needed by this patient given their diagnoses and medical history related to Patient Monitoring and Safety Equipment (for example vital signs or respiratory monitors, electrocardiogram (ECG) machines, etc.).  If no patient monitoring or safety equipment is expected to be needed, respond concisely ""Patient Monitoring & Safety Equipment: NA"". Include the PDF page number(s) indicating the source, for example ""Page 1"" or ""Pages 1,2,3"". Omit any summary statements before or after the response or bullet list.","equipment, monitoring, safety, list, concisely, bullet, expected, medical, needed, example","11, 17, 19, 28, 8, 9, 18, 26, 13, 1, 10, 24, 16, 7, 5, 12, 27, 15"
"List, concisely, in bullet format, any expected medical equipment that might be needed by this patient given their diagnoses and medical history related to Bed Equipment (such as Bariatric, Enclosed, Psychiatric, Alternating or Redistributing Pressure, Air-Fluidized, Geriatric, or other Specialty bed, etc.).  If no bed equipment is expected to be needed, respond concisely ""Bed Equipment: NA"". Include the PDF page number(s) indicating the source, for example ""Page 1"" or ""Pages 1,2,3"". Omit any summary statements before or after the response or bullet list.","equipment, bed, list, concisely, bullet, expected, medical, needed, format, might","11, 17, 19, 8, 9, 26, 13, 1, 3, 10, 7, 16, 5, 2, 12, 27, 15"
"List, concisely, in bullet format, any expected medical equipment that might be needed by this patient given their diagnoses and medical history related to Specialized Medical Equipment (such as Oxygen, Suction Machine, Nebulizer, Glucose Monitoring, Ventilator, CPAP or BiPAP Machine, Tracheostomy equipment, Feeding Pump, IV or Infusion Pumps, or Specialized wound care equipment, etc.).  If no specialized medical equipment is expected to be needed, respond concisely ""Specialized Medical Equipment: NA"". Include the PDF page number(s) indicating the source, for example ""Page 1"" or ""Pages 1,2,3"". Omit any summary statements before or after the response or bullet list.","equipment, medical, specialized, list, concisely, bullet, expected, needed, machine, format","11, 17, 19, 8, 9, 26, 13, 1, 10, 7, 16, 5, 12, 27, 15"
"List, concisely, in bullet format, any assistance expected to be needed by the patient. For example, ""No assistance needed"" if the patient is fairly independent; ""Minimal Assistance"" if the patient is not as independent; ""2, 3 or 4 Person Assistance"" depending if the patient needs, 2, 3, or 4 aids based on the size and needs of the patient.  In addition, indicate and respond if the patient needs ""One-on-one (1:1) Feeding Assistance"".  If no assistance is expected to be needed, respond concisely ""Assistance: NA"". Include the PDF page number(s) indicating the source, for example ""Page 1"" or ""Pages 1,2,3"". Omit any summary statements before or after the response.","assistance, needed, needs, concisely, expected, example, independent, respond, list, bullet","17, 28, 26, 1, 24, 7, 16, 27"
"If the patient currently has an intravenous (IV) line or is expected to need one in the near future, respond concisely ""IV needed or expected"".  If not needed or expected, respond concisely ""IV: NA"". Include the PDF page number(s) indicating the source, for example ""Page 1"" or ""Pages 1,2,3"". Omit any summary statements before or after the response.","iv, expected, respond, concisely, needed, currently, intravenous, line, need, one","22, 5, 13, 6, 28, 21, 1, 24, 16, 2, 27, 23, 17, 8, 18, 19, 12, 9, 26, 3, 10, 7"
"Does the patient have any pressure ulcers (bedsores or pressure sores) in Stage 1- 4, or Unstageable. Stage 1 is the earliest stage with skin intact but may show signs of redness, does not blanch (turn white) when pressed, and may be painful, firm, soft, warmer, or cooler compared to adjacent tissue.  Stage 2 is partial-thickness loss of skin, may appear as a blister, shallow open ulcer, or abrasion  but no slough (dead tissue). Stage 3 is full-thickness loss of skin, ulcer appears as a deep wound, fat may be visible, but bone, tendon, or muscle are not exposed, and if slough, does not obscure depth of tissue loss.  Stage 4 is full-thickness tissue loss with exposed bone, tendon, or muscle, may have slough or eschar (black, brown, or tan dead tissue, ulcers are often very deep, may have osteomyelitis (bone infection) or osteitis (bone inflammation). Unstageable is full-thickness skin and tissue loss, but damage extent cannot be determined because it is obscured by slough or eschar.  If yes, respond  concisely with the stage, for example: ""Pressure ulcer: Stage 2"" or ""Pressure ulcer: Unstageable"". If no pressure ulcers, respond concisely ""Pressure ulcers : NA"". Include the PDF page number(s) indicating the source, for example ""Page 1"" or ""Pages 1,2,3"". Omit any summary statements before or after the response.","stage, pressure, may, tissue, loss, ulcers, skin, ulcer, slough, bone","13, 9, 12, 11"
"Does the patient have any complex wounds. If yes, response  concisely ""Complex wound:"" followed by the type(s) of wound(s).  If not, respond  concisely ""Complex wounds: No"". Include the PDF page number(s) indicating the source, for example ""Page 1"" or ""Pages 1,2,3"". Omit any summary statements before or after the response or bullet list.","complex, wounds, response, concisely, wound, yes, followed, type, respond, indicating","11, 17, 19, 8, 21, 9, 10, 22, 24, 7, 25, 12, 27, 23"
"Does the patient have need a wound vacuum. If yes, response  concisely ""Wound Vac: Yes"".  If not, respond  concisely ""Wound Vac: No"". Include the PDF page number(s) indicating the source, for example ""Page 1"" or ""Pages 1,2,3"". Omit any summary statements before or after the response.","wound, yes, response, concisely, vac, need, vacuum, respond, indicating, source","11, 17, 19, 6, 21, 9, 1, 10, 22, 24, 7, 25, 12, 27, 23"
"Does the patient have need any specialty wound equipment, besides a would vacuum (vac). If yes, then response ""Specialty Wound Equipment:"" followed by the type(s) of equipment needed.  If not, respond concisely ""Specialty Wound Equipment: No"". Include the PDF page number(s) indicating the source, for example ""Page 1"" or ""Pages 1,2,3"". Omit any summary statements before or after the response or bullet list.","equipment, specialty, wound, response, need, besides, would, vacuum, vac, yes","11, 17, 19, 21, 9, 1, 10, 22, 24, 7, 25, 12, 27, 23"
"Does the patient currently smoke or were they a previous smoker? If so, how many packs per day do they smoke? Return you answer in a concise format, for example ""Smoking: No"", or ""Smoking: Yes, 1 pack per day"". Include the PDF page number(s) indicating the source, for example ""Page 1"" or ""Pages 1,2,3"". Omit any summary statements before or after the response or bullet list.","smoke, per, day, example, smoking, currently, previous, smoker, many, packs","17, 28, 21, 9, 26, 18, 1, 10, 3, 22, 24, 16, 2, 12, 27, 23"
"Are there indications that the patient is currently engaging in drug abuse or has a history of substance abuse, separate from and excluding alcohol or ETOH abuse?  If yes, specify which substances and frequencies. Respond as concisely as possible, for example ""Drug Abuse: No"", or respond ""Drug Abuse: Yes"" with a bullet list below, for example, ""• Opiates (Heroin/Oxy): Injected, $20 daily usage, started at age 18, last used recently, (Page 1); • Cocaine/Crack: Snorted/Inhaled, $40 daily usage, started in the patient's 20s, last used recently, (Page 3 ); etc."". Include the PDF page number(s) indicating the source of a the answer. Omit any summaries before or after the response or bullet list.","abuse, drug, yes, respond, example, bullet, list, daily, usage, started","22, 25, 28, 21, 1, 24, 16, 2, 27, 23, 15, 11, 17, 8, 18, 12, 19, 9, 26, 10, 3, 7"
"Are there indications that the patient is currently engaging in or has a history of alcohol or ETOH abuse, separate from and excluding drug abuse?  If yes, specify which substances and frequencies. Respond as concisely as possible, for example """"ETOH Abuse: No"", or respond ""ETOH Abuse: Yes"" with a bullet list, for example, ""• Beer, 5 days per week, 2 drinks per day, started at age 18, last used recently, (Page 1); • Liquor, 7 days per week, 3 drinks per day, started in the patient's 20s, last used recently, (Page 3 ); etc."". If there is no indication of alcohol or ETOH abuse, return ""NA"". Include the PDF page number(s) indicating the source of a the answer. Omit any summaries before or after the response or bullet list.","abuse, etoh, per, alcohol, yes, respond, example, bullet, list, days","22, 25, 28, 21, 1, 24, 16, 27, 23, 15, 11, 17, 18, 12, 19, 9, 26, 10, 7"
"Based on the patient's specific conditions, diagnoses, or physician recommendations, what are the prescribed or recommended types and frequencies of therapy sessions? If therapy is expected, respond concisely, in bullet format, which kinds of therapies, how often per week, and how many minutes per session.  Examples of therapies include physical therapy (PT), occupational therapy (OT), speech therapy, etc.  If therapy is not expected, respond ""Therapy: NA"". Include the PDF page number(s) indicating the source, for example ""Page 1"" or ""Pages 1,2,3"". Omit any summaries before or after the response or bullet list.","therapy, expected, respond, bullet, therapies, per, based, specific, conditions, diagnoses","17, 28, 9, 26, 1, 24, 16, 7, 27, 23"
"Are there any significant concerns or notes regarding admitting this patient to a nursing home, such as being a potential threat or risk to themselves, other patients, the staff or the facilities?  Examples include, prior history or harm to others or self, suicidal indications, prior history of damaging a building or facility, sex offender, victim of repeated violent abuse, etc.  Is anything noted in the notes as a 'concern'?  If yes, respond concisely, in bullet list format, as ""Concerns"" followed by the list. If not, respond concisely ""Concerns: NA"". Include the PDF page number(s) indicating the source, for example ""Page 1"" or ""Pages 1,2,3"". Omit any summary statements before or after the response or bullet list.","concerns, list, notes, prior, history, respond, concisely, bullet, significant, regarding","22, 25, 13, 1, 24, 16, 2, 27, 23, 15, 11, 17, 8, 18, 19, 12, 9, 26, 10, 7"
"Does the patient currently have Tuberculosis (TB) or are they taking any prescription drugs that indicate they have Tuberculosis.  If yes, respond ""Tuberculosis: Yes"". If not, respond concisely ""Tuberculosis: No"". Include the PDF page number(s) indicating the source, for example ""Page 1"" or ""Pages 1,2,3"". Omit any summary statements before or after the response.","tuberculosis, yes, respond, currently, tb, taking, prescription, indicate, concisely, indicating","11, 17, 19, 28, 21, 9, 18, 10, 22, 24, 7, 25, 12, 27, 23"
"Does the patient have or are they taking any prescription drugs that indicate they have Vancomycin-resistant Enterococci (VRE). If yes, respond ""VRE: Yes"". If not, respond concisely ""VRE: No"". Include the PDF page number(s) indicating the source, for example ""Page 1"" or ""Pages 1,2,3"". Omit any summary statements before or after the response.","vre, yes, respond, taking, prescription, indicate, enterococci, concisely, indicating, source","11, 17, 19, 28, 6, 21, 9, 18, 10, 22, 24, 7, 25, 12, 27, 23"
"Does the patient have or are they taking any prescription drugs that indicate they have Human immunodeficiency virus (HIV). If yes, respond ""HIV: Yes"". If not, respond concisely ""HIV: No"". Include the PDF page number(s) indicating the source, for example ""Page 1"" or ""Pages 1,2,3"". Omit any summary statements before or after the response.","hiv, yes, respond, taking, prescription, indicate, human, immunodeficiency, virus, concisely","11, 17, 19, 28, 21, 9, 18, 10, 22, 24, 7, 25, 12, 27, 23"
"Does the patient have or are they taking any prescription drugs that indicate they have Extended spectrum B-lactamases (ESBL). If yes, respond ""ESBL: Yes"". If not, respond concisely ""ESBL: No"". Include the PDF page number(s) indicating the source, for example ""Page 1"" or ""Pages 1,2,3"". Omit any summary statements before or after the response.","esbl, yes, respond, taking, prescription, indicate, extended, spectrum, concisely, indicating","11, 17, 19, 28, 21, 9, 18, 10, 22, 24, 7, 25, 12, 27, 23"
"Does the patient have or are they taking any prescription drugs that indicate they have Acquired immunodeficiency syndrome (AIDS). If yes, respond ""AIDS: Yes"". If not, respond concisely ""AIDS: No"". Include the PDF page number(s) indicating the source, for example ""Page 1"" or ""Pages 1,2,3"". Omit any summary statements before or after the response.","aids, yes, respond, taking, prescription, indicate, acquired, immunodeficiency, syndrome, concisely","11, 17, 19, 28, 21, 9, 18, 10, 22, 24, 7, 25, 12, 27, 23"
"Does the patient need an Electrocardiogram (ECG or EKG)? If yes, respond ""ECG: Yes"". If not, respond concisely ""ECG: No"". Include the PDF page number(s) indicating the source, for example ""Page 1"" or ""Pages 1,2,3"". Omit any summary statements before or after the response.","ecg, yes, respond, need, electrocardiogram, ekg, concisely, indicating, source, example","11, 17, 19, 6, 21, 9, 10, 22, 24, 7, 25, 12, 27, 23"
"Does the patient need an Prothrombin Time (PT or PT/INR) test? If yes, respond ""PT/INR: Yes"". If not, respond concisely ""PT/INR: No"". Include the PDF page number(s) indicating the source, for example ""Page 1"" or ""Pages 1,2,3"". Omit any summary statements before or after the response.","yes, respond, need, prothrombin, time, pt, test, concisely, indicating, source","22, 4, 25, 13, 14, 6, 28, 21, 1, 24, 16, 2, 27, 23, 15, 11, 17, 8, 18, 19, 12, 9, 26, 10, 3, 7"
"Does the patient need an Cardiac Event Monitor (eCardio or eTrigger)? If yes, respond ""eCardio: Yes"". If not, respond concisely ""eCardio: No"". Include the PDF page number(s) indicating the source, for example ""Page 1"" or ""Pages 1,2,3"". Omit any summary statements before or after the response.","ecardio, yes, respond, need, cardiac, event, monitor, etrigger, concisely, indicating","11, 17, 19, 28, 21, 9, 18, 1, 10, 22, 24, 7, 25, 12, 27, 23"
"Does the patient need a Bladder scan to assess postvoid residual (PVR) volume (Radionuclide Cystogram)? If yes, respond ""Bladder scan: Yes"". If not, respond concisely ""Bladder scan: No"". Include the PDF page number(s) indicating the source, for example ""Page 1"" or ""Pages 1,2,3"". Omit any summary statements before or after the response.","bladder, scan, yes, respond, need, assess, postvoid, residual, pvr, volume","11, 17, 19, 21, 9, 26, 1, 10, 22, 24, 4, 7, 16, 25, 2, 12, 27, 23"
"Does the patient have or need a central venous catheter (central line)? If yes, respond ""Central line: Yes"". If not, respond concisely ""Central line: No"". Include the PDF page number(s) indicating the source, for example ""Page 1"" or ""Pages 1,2,3"". Omit any summary statements before or after the response.","central, line, yes, respond, need, venous, catheter, concisely, indicating, source","11, 17, 19, 6, 8, 21, 9, 26, 3, 10, 22, 24, 16, 7, 25, 12, 27, 23"
"Does the patient have or need a midline catheter? If yes, respond ""Midline catheter: Yes"". If not, respond concisely ""Midline catheter: No"". Include the PDF page number(s) indicating the source, for example ""Page 1"" or ""Pages 1,2,3"". Omit any summary statements before or after the response.","midline, catheter, yes, respond, need, concisely, indicating, source, example, pages","11, 17, 19, 6, 21, 9, 10, 22, 24, 7, 25, 12, 27, 23"
"Does the patient have or need Implantable Ports? If yes, respond ""Implantable ports: Yes"". If not, respond concisely ""Implantable ports: No"". Include the PDF page number(s) indicating the source, for example ""Page 1"" or ""Pages 1,2,3"". Omit any summary statements before or after the response.","implantable, ports, yes, respond, need, concisely, indicating, source, example, pages","11, 17, 19, 6, 21, 9, 18, 10, 22, 24, 7, 25, 12, 27, 23"
"Does the patient have or need a Jackson-Pratt (JP) or Penrose Drain? If yes, respond ""JP/Penrose drain: Yes"". If not, respond concisely ""JP/Penrose drain: No"". Include the PDF page number(s) indicating the source, for example ""Page 1"" or ""Pages 1,2,3"". Omit any summary statements before or after the response.","drain, yes, respond, need, jp, penrose, concisely, indicating, source, example","11, 17, 19, 6, 21, 9, 10, 22, 24, 7, 25, 12, 27, 23"
"Does the patient have a Nephrostomy or Urostomy? If yes, respond ""Nephrostomy: Yes"". If not, respond concisely ""Nephrostomy: No"". Include the PDF page number(s) indicating the source, for example ""Page 1"" or ""Pages 1,2,3"". Omit any summary statements before or after the response.","nephrostomy, yes, respond, urostomy, concisely, indicating, source, example, pages, omit","11, 17, 19, 6, 21, 9, 26, 10, 22, 24, 7, 16, 25, 12, 27, 23"
"Does the patient have a Colostomy? If yes, respond ""Colostomy: Yes"". If not, respond concisely ""Colostomy: No"". Include the PDF page number(s) indicating the source, for example ""Page 1"" or ""Pages 1,2,3"". Omit any summary statements before or after the response.","colostomy, yes, respond, concisely, indicating, source, example, pages, omit, summary","11, 17, 19, 6, 21, 9, 26, 10, 22, 24, 7, 16, 25, 12, 27, 23"
"Does the patient have or need a Suprapubic Catheter? If yes, respond ""Suprapubic Catheter: Yes"". If not, respond concisely ""Suprapubic Catheter: No"". Include the PDF page number(s) indicating the source, for example ""Page 1"" or ""Pages 1,2,3"". Omit any summary statements before or after the response.","suprapubic, catheter, yes, respond, need, concisely, indicating, source, example, pages","11, 17, 19, 6, 21, 9, 10, 22, 24, 7, 25, 12, 27, 23"
"Does the patient have or need a Dialysis Shunt? If yes, respond ""Dialysis Shunt: Yes"". If not, respond concisely ""Dialysis Shunt: No"". Include the PDF page number(s) indicating the source, for example ""Page 1"" or ""Pages 1,2,3"". Omit any summary statements before or after the response.","dialysis, shunt, yes, respond, need, concisely, indicating, source, example, pages","11, 17, 19, 6, 21, 9, 10, 22, 24, 7, 25, 12, 27, 23"
"Does the patient have or need a Dialysis Catheter? If yes, respond ""Dialysis Catheter: Yes"". If not, respond concisely ""Dialysis Catheter: No"". Include the PDF page number(s) indicating the source, for example ""Page 1"" or ""Pages 1,2,3"". Omit any summary statements before or after the response.","dialysis, catheter, yes, respond, need, concisely, indicating, source, example, pages","11, 17, 19, 6, 21, 9, 10, 22, 24, 7, 25, 12, 27, 23"
"Does the patient use or need bilevel positive airway pressure (BiPAP, Bi PAP, or Bi-PAP) or continuous positive airway pressure (CPAP or C-PAP)? If yes, respond ""BiPAP/CPAP: Yes"". If not, respond concisely ""BiPAP/CPAP: No"". Include the PDF page number(s) indicating the source, for example ""Page 1"" or ""Pages 1,2,3"". Omit any summary statements before or after the response.","positive, airway, pressure, yes, respond, use, need, bilevel, bipap, bi","22, 4, 25, 13, 6, 28, 21, 1, 24, 16, 2, 27, 23, 15, 11, 17, 8, 18, 19, 12, 9, 26, 10, 3, 7"
"Does the patient have a Tracheostomy?  If so, is it new or recent, is it old or from past medical history, or does it not indicate timing? If yes, respond ""Tracheostomy: Yes"" followed by "", New"", "", Old"", or "", Unknown"" accordingly. If no Tracheostomy, respond concisely ""Tracheostomy: No"". Include the PDF page number(s) indicating the source, for example ""Page 1"" or ""Pages 1,2,3"". Omit any summary statements before or after the response.","tracheostomy, new, old, yes, respond, recent, past, medical, history, indicate","22, 4, 5, 25, 13, 28, 21, 1, 24, 16, 2, 27, 23, 15, 11, 17, 8, 18, 19, 12, 9, 26, 3, 10, 7"
"Does the patient use or need Oxygen (Compressed gas system, Portable oxygen concentrator (POC), or Liquid oxygen system)? If yes, what is the maximum amount (in Liters)? If yes, respond ""Oxygen: "", followed by the maximum amount of liters, for example ""Oxygen: 10 LPM"". If not, respond concisely ""Oxygen: No"". Include the PDF page number(s) indicating the source, for example ""Page 1"" or ""Pages 1,2,3"". Omit any summary statements before or after the response.","oxygen, system, yes, maximum, amount, liters, respond, example, use, need","22, 25, 28, 21, 24, 16, 2, 27, 23, 15, 11, 17, 8, 18, 19, 12, 9, 26, 10, 3, 7"
"Does the patient use or need a portable or Astral vent? If yes, respond ""Portable/Astral vent: Yes"". If not, respond concisely ""Portable/Astral vent: No"". Include the PDF page number(s) indicating the source, for example ""Page 1"" or ""Pages 1,2,3"". Omit any summary statements before or after the response.","vent, yes, respond, use, need, portable, astral, concisely, indicating, source","22, 25, 6, 28, 21, 24, 16, 2, 27, 23, 15, 11, 17, 18, 19, 12, 9, 26, 10, 3, 7"
"Does the patient have a Chest Tube? If yes, respond ""Chest tube: Yes"". If not, respond concisely ""Chest tube: No"". Include the PDF page number(s) indicating the source, for example ""Page 1"" or ""Pages 1,2,3"". Omit any summary statements before or after the response.","chest, tube, yes, respond, concisely, indicating, source, example, pages, omit","11, 17, 19, 6, 21, 9, 26, 10, 22, 24, 7, 16, 25, 12, 27, 23"
"Does the patient have a Pleurex or PleurX? If yes, respond ""Pleurex: Yes"". If not, respond concisely ""Pleurex: No"". Include the PDF page number(s) indicating the source, for example ""Page 1"" or ""Pages 1,2,3"". Omit any summary statements before or after the response.","pleurex, yes, respond, pleurx, concisely, indicating, source, example, pages, omit","11, 17, 19, 6, 21, 9, 26, 10, 22, 24, 7, 16, 25, 12, 27, 23"
"Does the patient need Surgical Orthopedic care? If yes, respond ""Surgical Orthopedic care: Yes"". If not, respond concisely ""Surgical Orthopedic care: No"". Include the PDF page number(s) indicating the source, for example ""Page 1"" or ""Pages 1,2,3"". Omit any summary statements before or after the response.","surgical, orthopedic, care, yes, respond, need, concisely, indicating, source, example","11, 17, 19, 28, 6, 21, 9, 18, 1, 10, 22, 24, 7, 25, 12, 27, 14, 23"
"Does the patient need external fixator? If yes, respond ""External fixator: Yes"". If not, respond concisely ""External fixator: No"". Include the PDF page number(s) indicating the source, for example ""Page 1"" or ""Pages 1,2,3"". Omit any summary statements before or after the response.","external, fixator, yes, respond, need, concisely, indicating, source, example, pages","11, 17, 19, 6, 21, 9, 10, 22, 24, 7, 25, 12, 27, 23"
"Does the patient need Orthopedic Traction? If yes, respond ""Orthopedic Traction: Yes"". If not, respond concisely ""Orthopedic Traction: No"". Include the PDF page number(s) indicating the source, for example ""Page 1"" or ""Pages 1,2,3"". Omit any summary statements before or after the response.","orthopedic, traction, yes, respond, need, concisely, indicating, source, example, pages","11, 17, 19, 6, 21, 9, 10, 22, 24, 7, 25, 12, 27, 23"
